IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.17.143.158,4,4,0.00,157.21,5.70
104.16.245.22,4,4,0.00,155.26,5.68
104.25.248.41,4,4,0.00,158.56,5.65
104.16.249.184,4,4,0.00,155.05,5.61
104.17.168.89,4,4,0.00,159.53,5.50
104.16.251.34,4,4,0.00,158.59,5.49
104.17.215.32,4,4,0.00,156.08,5.49
104.17.197.150,4,4,0.00,159.13,5.48
104.25.246.131,4,4,0.00,155.99,5.48
104.18.20.8,4,4,0.00,159.79,0.00
104.17.202.90,4,4,0.00,159.60,0.00
172.66.164.252,4,4,0.00,159.94,0.00
104.17.227.149,4,4,0.00,160.02,0.00
104.23.121.17,4,4,0.00,160.25,0.00
