IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.19.54.217,4,4,0.00,157.21,5.70
104.19.1.7,4,4,0.00,155.26,5.68
104.19.39.142,4,4,0.00,158.56,5.65
162.159.207.94,4,4,0.00,155.05,5.61
104.19.14.196,4,4,0.00,159.53,5.50
104.19.24.117,4,4,0.00,158.59,5.49
104.19.3.21,4,4,0.00,156.08,5.49
104.19.11.130,4,4,0.00,159.13,5.48
104.19.23.113,4,4,0.00,155.99,5.48
104.19.13.77,4,4,0.00,159.79,0.00
104.19.17.242,4,4,0.00,159.60,0.00
104.19.2.43,4,4,0.00,159.94,0.00
104.19.26.29,4,4,0.00,160.02,0.00
104.19.15.63,4,4,0.00,160.25,0.00
162.159.45.130,4,4,0.00,160.80,0.00
162.159.243.58,4,4,0.00,161.27,0.00
172.64.40.26,4,4,0.00,161.47,0.00
162.159.44.234,4,4,0.00,161.77,0.00
104.19.62.11,4,4,0.00,161.78,0.00
104.18.112.121,4,4,0.00,161.85,0.00
